#Time_(min)	IL6 (ng/mL)	IFNɣ (ng/mL)	OS-M (ng/mL)	STAT1AvgNuc-Cyt	STAT3AvgNuc-Cyt	STAT1NucAvg	STAT3NucAvg	TotDNA
8.000000	50.000000	50.000000	0.000000	2.378740	2.582038	2.855279	2.899365	4.723629
8.000000	50.000000	16.700000	0.000000	2.335250	2.612723	2.839120	2.920259	4.736992
8.000000	50.000000	5.600000	0.000000	2.306677	2.624978	2.830771	2.923312	4.724620
8.000000	50.000000	0.000000	0.000000	2.257168	2.601046	2.812559	2.909742	4.735662
8.000000	50.000000	0.000000	25.000000	2.446577	3.048162	2.861839	3.177785	4.733182
8.000000	50.000000	0.000000	8.300000	2.357544	3.017458	2.843125	3.162385	4.729722
8.000000	50.000000	0.000000	2.800000	2.314489	2.930866	2.832070	3.100163	4.736825
8.000000	0.000000	50.000000	25.000000	2.388071	2.956368	2.847462	3.116704	4.738515
8.000000	0.000000	50.000000	8.300000	2.313079	2.594514	2.827229	2.881822	4.743412
8.000000	0.000000	50.000000	2.800000	2.268976	2.033037	2.812922	2.623878	4.738353
8.000000	0.000000	50.000000	0.000000	2.283651	1.706146	2.826568	2.557199	4.750612
8.000000	16.700000	50.000000	0.000000	2.369015	2.370267	2.848556	2.780519	4.747433
8.000000	16.700000	16.700000	0.000000	2.291069	2.391500	2.822301	2.792843	4.744437
8.000000	16.700000	5.600000	0.000000	2.248901	2.317770	2.811470	2.771476	4.757194
8.000000	16.700000	0.000000	0.000000	2.214416	2.396940	2.806279	2.805525	4.753163
8.000000	16.700000	0.000000	25.000000	2.402633	3.028721	2.846848	3.163203	4.743294
8.000000	16.700000	0.000000	8.300000	2.316050	2.964769	2.825248	3.122849	4.761628
8.000000	16.700000	0.000000	2.800000	2.266463	2.771978	2.819926	2.997574	4.751872
8.000000	0.000000	16.700000	25.000000	2.317972	2.878651	2.831094	3.064240	4.745687
8.000000	0.000000	16.700000	8.300000	2.238494	2.209864	2.809764	2.685169	4.755115
8.000000	0.000000	16.700000	2.800000	2.235158	1.855143	2.801235	2.573203	4.759614
8.000000	0.000000	16.700000	0.000000	2.252220	1.695484	2.815895	2.543906	4.764238
8.000000	5.600000	50.000000	0.000000	2.311092	2.003331	2.840472	2.636779	4.761952
8.000000	5.600000	16.700000	0.000000	2.254337	2.037021	2.824582	2.642264	4.756533
8.000000	5.600000	5.600000	0.000000	2.235918	1.999127	2.815154	2.623698	4.774770
8.000000	5.600000	0.000000	0.000000	2.188315	2.014012	2.800546	2.632616	4.771933
8.000000	5.600000	0.000000	25.000000	2.333690	2.962011	2.834679	3.122821	4.767772
8.000000	5.600000	0.000000	8.300000	2.253933	2.737457	2.822249	2.975204	4.776889
8.000000	5.600000	0.000000	2.800000	2.246481	2.467755	2.819543	2.813371	4.771149
8.000000	0.000000	5.600000	25.000000	2.255346	2.785189	2.814800	3.011404	4.769845
8.000000	0.000000	5.600000	8.300000	2.222615	2.078009	2.809220	2.668615	4.768942
8.000000	0.000000	5.600000	2.800000	2.183669	1.811263	2.794971	2.590783	4.773614
8.000000	0.000000	5.600000	0.000000	2.222484	1.683468	2.819750	2.556277	4.776942
8.000000	0.000000	0.000000	0.000000	2.212102	1.675215	2.808726	2.546938	4.777437
8.000000	0.000000	0.000000	25.000000	2.260158	2.480756	2.823339	2.865032	4.779720
8.000000	0.000000	0.000000	8.300000	2.185278	1.913833	2.808941	2.624625	4.784262
8.000000	0.000000	0.000000	2.800000	2.219002	1.763462	2.809512	2.605287	4.777614
15.000000	50.000000	50.000000	0.000000	2.526776	2.516817	2.888830	2.869235	4.703716
15.000000	50.000000	16.700000	0.000000	2.478097	2.505373	2.864236	2.857587	4.709163
15.000000	50.000000	5.600000	0.000000	2.429784	2.505708	2.847301	2.858357	4.704102
15.000000	50.000000	0.000000	0.000000	2.244274	2.496671	2.792592	2.854882	4.711408
15.000000	50.000000	0.000000	25.000000	2.578745	2.934266	2.900579	3.097093	4.712446
15.000000	50.000000	0.000000	8.300000	2.458401	2.913756	2.856484	3.083850	4.717862
15.000000	50.000000	0.000000	2.800000	2.350782	2.856139	2.824762	3.045472	4.719158
15.000000	0.000000	50.000000	25.000000	2.597396	2.914751	2.909244	3.086345	4.703475
15.000000	0.000000	50.000000	8.300000	2.499294	2.762427	2.873407	2.984704	4.705257
15.000000	0.000000	50.000000	2.800000	2.462538	2.332971	2.864760	2.746355	4.699838
15.000000	0.000000	50.000000	0.000000	2.446867	1.685636	2.870822	2.628409	4.709275
15.000000	16.700000	50.000000	0.000000	2.523811	2.483439	2.889966	2.849090	4.709180
15.000000	16.700000	16.700000	0.000000	2.446374	2.402814	2.854357	2.807437	4.708593
15.000000	16.700000	5.600000	0.000000	2.397487	2.412079	2.842247	2.812145	4.717957
15.000000	16.700000	0.000000	0.000000	2.227676	2.422673	2.793393	2.821522	4.718185
15.000000	16.700000	0.000000	25.000000	2.536173	2.937521	2.884334	3.101187	4.717719
15.000000	16.700000	0.000000	8.300000	2.388134	2.902591	2.833204	3.078195	4.719620
15.000000	16.700000	0.000000	2.800000	2.325906	2.856525	2.821515	3.049827	4.720588
15.000000	0.000000	16.700000	25.000000	2.542804	2.899998	2.889651	3.079296	4.706935
15.000000	0.000000	16.700000	8.300000	2.435447	2.578389	2.855161	2.869632	4.696010
15.000000	0.000000	16.700000	2.800000	2.417625	2.116216	2.849453	2.658399	4.706420
15.000000	0.000000	16.700000	0.000000	2.394845	1.624553	2.848465	2.560341	4.700033
15.000000	5.600000	50.000000	0.000000	2.495519	2.203672	2.874584	2.717282	4.709524
15.000000	5.600000	16.700000	0.000000	2.438446	2.168293	2.854987	2.699905	4.702590
15.000000	5.600000	5.600000	0.000000	2.356301	2.103657	2.829511	2.672181	4.727368
15.000000	5.600000	0.000000	0.000000	2.193929	2.095048	2.780795	2.663747	4.709557
15.000000	5.600000	0.000000	25.000000	2.460333	2.933215	2.859160	3.100244	4.711501
15.000000	5.600000	0.000000	8.300000	2.323380	2.851367	2.820921	3.047501	4.713277
15.000000	5.600000	0.000000	2.800000	2.245013	2.646149	2.801700	2.913220	4.711291
15.000000	0.000000	5.600000	25.000000	2.447151	2.877534	2.858054	3.065564	4.710926
15.000000	0.000000	5.600000	8.300000	2.367669	2.471595	2.834203	2.830979	4.724964
15.000000	0.000000	5.600000	2.800000	2.345713	2.017039	2.827057	2.633455	4.701010
15.000000	0.000000	5.600000	0.000000	2.336034	1.594206	2.837267	2.563890	4.706881
15.000000	0.000000	0.000000	0.000000	2.228819	1.587451	2.802960	2.541708	4.721826
15.000000	0.000000	0.000000	25.000000	2.318040	2.643038	2.827265	2.955744	4.718059
15.000000	0.000000	0.000000	8.300000	2.232020	2.160097	2.811902	2.715234	4.735248
15.000000	0.000000	0.000000	2.800000	2.243257	1.815337	2.803292	2.586729	4.713707
30.000000	50.000000	50.000000	0.000000	2.650638	2.354960	2.943464	2.760580	4.671861
30.000000	50.000000	16.700000	0.000000	2.621012	2.323867	2.927036	2.746556	4.674065
30.000000	50.000000	5.600000	0.000000	2.583639	2.295538	2.912399	2.737702	4.666109
30.000000	50.000000	0.000000	0.000000	2.266016	2.248731	2.809593	2.741357	4.684577
30.000000	50.000000	0.000000	25.000000	2.614951	2.848756	2.926352	3.041385	4.680374
30.000000	50.000000	0.000000	8.300000	2.505862	2.815504	2.884117	3.032644	4.694271
30.000000	50.000000	0.000000	2.800000	2.379348	2.746344	2.842396	2.988783	4.688505
30.000000	0.000000	50.000000	25.000000	2.722662	2.850889	2.971633	3.039644	4.687054
30.000000	0.000000	50.000000	8.300000	2.664511	2.748867	2.944421	2.973732	4.676369
30.000000	0.000000	50.000000	2.800000	2.619736	2.544314	2.924396	2.851898	4.678041
30.000000	0.000000	50.000000	0.000000	2.585375	1.710591	2.913987	2.559605	4.682338
30.000000	16.700000	50.000000	0.000000	2.638570	2.385065	2.936442	2.778390	4.685112
30.000000	16.700000	16.700000	0.000000	2.597995	2.345007	2.915931	2.767100	4.685356
30.000000	16.700000	5.600000	0.000000	2.572377	2.337074	2.905510	2.769403	4.687112
30.000000	16.700000	0.000000	0.000000	2.251849	2.265872	2.804717	2.743381	4.689202
30.000000	16.700000	0.000000	25.000000	2.591924	2.851549	2.915555	3.038132	4.682558
30.000000	16.700000	0.000000	8.300000	2.462703	2.813629	2.866164	3.020089	4.693884
30.000000	16.700000	0.000000	2.800000	2.373145	2.744388	2.844789	2.986958	4.687043
30.000000	0.000000	16.700000	25.000000	2.690509	2.828311	2.956786	3.023203	4.672800
30.000000	0.000000	16.700000	8.300000	2.621313	2.680732	2.926885	2.928599	4.676757
30.000000	0.000000	16.700000	2.800000	2.595292	2.424406	2.915147	2.790019	4.672936
30.000000	0.000000	16.700000	0.000000	2.566868	1.702251	2.904437	2.550910	4.690992
30.000000	5.600000	50.000000	0.000000	2.616345	2.254198	2.925732	2.728422	4.695911
30.000000	5.600000	16.700000	0.000000	2.595409	2.267318	2.918768	2.747231	4.691849
30.000000	5.600000	5.600000	0.000000	2.545505	2.185424	2.898739	2.715355	4.725000
30.000000	5.600000	0.000000	0.000000	2.201446	2.141259	2.788765	2.687516	4.681927
30.000000	5.600000	0.000000	25.000000	2.537210	2.850291	2.896332	3.042102	4.688959
30.000000	5.600000	0.000000	8.300000	2.403592	2.810460	2.851272	3.014318	4.694294
30.000000	5.600000	0.000000	2.800000	2.309670	2.684831	2.826090	2.939541	4.694528
30.000000	0.000000	5.600000	25.000000	2.661186	2.827126	2.943083	3.031181	4.684640
30.000000	0.000000	5.600000	8.300000	2.578037	2.664180	2.910304	2.925909	4.682712
30.000000	0.000000	5.600000	2.800000	2.542510	2.387147	2.890228	2.768943	4.687068
30.000000	0.000000	5.600000	0.000000	2.528192	1.685455	2.893891	2.561560	4.706395
30.000000	0.000000	0.000000	0.000000	2.217131	1.588850	2.794964	2.537983	4.706282
30.000000	0.000000	0.000000	25.000000	2.361480	2.608257	2.837761	2.939165	4.704555
30.000000	0.000000	0.000000	8.300000	2.240796	2.493028	2.811494	2.844703	4.700978
30.000000	0.000000	0.000000	2.800000	2.232566	2.152122	2.796422	2.684670	4.704651
45.000000	50.000000	50.000000	0.000000	2.628172	1.985863	2.924018	2.618636	4.794538
45.000000	50.000000	16.700000	0.000000	2.580480	1.960234	2.897996	2.599458	4.739822
45.000000	50.000000	5.600000	0.000000	2.563912	1.943363	2.888750	2.588827	4.738365
45.000000	50.000000	0.000000	0.000000	2.162498	1.861618	2.768610	2.582690	4.748657
45.000000	50.000000	0.000000	25.000000	2.392018	2.498313	2.825104	2.810601	4.742595
45.000000	50.000000	0.000000	8.300000	2.340815	2.462792	2.811187	2.795298	4.758270
45.000000	50.000000	0.000000	2.800000	2.243187	2.344784	2.871357	2.747431	4.755091
45.000000	0.000000	50.000000	25.000000	2.634795	2.526150	2.921709	2.831473	4.755416
45.000000	0.000000	50.000000	8.300000	2.607202	2.440882	2.907902	2.789226	4.754005
45.000000	0.000000	50.000000	2.800000	2.605595	2.286841	2.911068	2.713532	4.746410
45.000000	0.000000	50.000000	0.000000	2.616867	1.681014	2.919667	2.550457	4.783656
45.000000	16.700000	50.000000	0.000000	2.632261	2.020854	2.929327	2.616820	4.785059
45.000000	16.700000	16.700000	0.000000	2.568788	1.995665	2.894026	2.609964	4.746782
45.000000	16.700000	5.600000	0.000000	2.556465	1.962789	2.884393	2.602586	4.744499
45.000000	16.700000	0.000000	0.000000	2.169615	1.905934	2.768467	2.586926	4.758734
45.000000	16.700000	0.000000	25.000000	2.387808	2.489800	2.823443	2.801599	4.755771
45.000000	16.700000	0.000000	8.300000	2.304713	2.458886	2.803315	2.793858	4.760164
45.000000	16.700000	0.000000	2.800000	2.244458	2.356612	2.828744	2.750013	4.757311
45.000000	0.000000	16.700000	25.000000	2.627699	2.522319	2.920327	2.832895	4.758350
45.000000	0.000000	16.700000	8.300000	2.602027	2.392195	2.908857	2.758299	4.756915
45.000000	0.000000	16.700000	2.800000	2.601933	2.258641	2.906988	2.704972	4.759322
45.000000	0.000000	16.700000	0.000000	2.615804	1.680242	2.920731	2.554316	4.776011
45.000000	5.600000	50.000000	0.000000	2.630912	2.032368	2.927295	2.641463	4.761241
45.000000	5.600000	16.700000	0.000000	2.602044	1.994941	2.914757	2.626370	4.767174
45.000000	5.600000	5.600000	0.000000	2.582574	1.972788	2.901357	2.596359	4.747288
45.000000	5.600000	0.000000	0.000000	2.156499	1.893482	2.766208	2.576617	4.761456
45.000000	5.600000	0.000000	25.000000	2.375290	2.517241	2.826542	2.825196	4.753575
45.000000	5.600000	0.000000	8.300000	2.285487	2.460139	2.802354	2.803391	4.773386
45.000000	5.600000	0.000000	2.800000	2.228316	2.330307	2.792325	2.736028	4.759823
45.000000	0.000000	5.600000	25.000000	2.620957	2.521979	2.919303	2.836061	4.766119
45.000000	0.000000	5.600000	8.300000	2.605571	2.400531	2.912397	2.776817	4.771679
45.000000	0.000000	5.600000	2.800000	2.593403	2.255261	2.906756	2.713757	4.760409
45.000000	0.000000	5.600000	0.000000	2.589622	1.664039	2.923409	2.567974	4.789151
